outgassing_rate_factor,impact_rate,inflation_percentage,impactor_size,critical_pressure
0.13292918943162163,1.7451988205203773e-10,4.24646128226478,8.0,0.00557294385217345
7.1144760093434165,9.941972954739067e-11,65.44546211490425,8.0,0.00557294385217345
1.570297088405538,1.1400488872230623e-11,70.85761865112406,8.0,0.00557294385217345
0.6251373574521747,4.401493051735754e-09,30.058284762697753,8.0,0.00557294385217345
0.029380279387035357,7.240106640932598e-10,1.1656952539550374,8.0,0.00557294385217345
0.029375384576328278,1.563889104443866e-07,0.0,8.0,0.00557294385217345
0.014936568554617625,1.5583230079897796e-12,0.0,8.0,0.00557294385217345
3.9676050770529865,7.298062281952625e-09,84.51290591174022,8.0,0.00557294385217345
0.6358358856676251,3.7817539664040456e-08,23.064113238967526,8.0,0.00557294385217345
1.331121608073688,3.6051174259192094e-08,56.28642797668609,8.0,0.00557294385217345
0.011527987128232399,2.0722578933930595e-07,0.0,8.0,0.00557294385217345
8.123245085588684,2.3670228858408265e-08,98.7510407993339,8.0,0.00557294385217345
3.1428808908401082,3.6885898757011417e-07,73.68859283930058,8.0,0.00557294385217345
0.043352817949515635,9.906941509413901e-11,0.0,8.0,0.00557294385217345
0.03511356313970406,1.0453374281166931e-09,1.0824313072439633,8.0,0.00557294385217345
0.03549878832196502,1.2147250279527545e-12,0.0,8.0,0.00557294385217345
0.0817949947521167,1.1008940482780586e-12,0.0,8.0,0.00557294385217345
0.375205585512428,2.7590509643519144e-11,0.0,8.0,0.00557294385217345
0.19762189340280067,4.025716455488704e-12,0.0,8.0,0.00557294385217345
0.07476312062252297,3.6413984885897465e-11,0.0,8.0,0.00557294385217345
0.684792009557478,1.1541433861299884e-11,0.0,8.0,0.00557294385217345
0.02621087878265439,1.482928285508988e-12,0.0,8.0,0.00557294385217345
0.07523742884534855,2.8564385028474214e-07,0.0,8.0,0.00557294385217345
0.12562773503807023,1.1203114853074998e-12,0.0,8.0,0.00557294385217345
0.2334586407601623,2.6091128638342766e-08,4.496253122398001,8.0,0.00557294385217345
